cnty_name,county,mcd,cousubfp,mcd_name,total,acadian,afghan,africa,albania,alsatian,arab,armenia,assyria,australia,austria,basque,belgium,brazil,bulgaria,canada,capeverde,carprus,celtic,croatia,cyprus,czech,czchslovk,denmark,eeurope,egypt,english,estonia,ethiopia,europe,finland,france,frcanada,germany,ghana,grbritain,greece,guyana,hungary,iceland,iran,iraq,ireland,israel,italy,jordan,kenya,latvia,lebanon,liberia,lithuania,luxemburg,macedonia,malta,morrocco,netherlnd,neurope,newzeal,nigeria,norway,ossafric,otharab,palestine,poland,portugal,romania,russia,safrica,saudi,scandnv,scotirish,scotland,senegal,serbia,sierrleon,slavic,slovak,slovenia,somalia,sovunion,subafrica,sudan,sweden,switzrlnd,syria,turkey,uganda,ukraine,wales,westindes,yugoslavia,zaire,zimbabwe,white,hispanic,black,amindan,asian,top_industry
Tippecanoe,157,030,69174,Sheffield,3016,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,0,190,0,2,12,13,57,0,620,0,6,2,0,0,0,0,0,295,0,41,0,0,0,0,0,0,0,0,0,0,70,0,0,0,7,0,0,0,6,0,0,0,0,0,0,53,17,0,0,0,0,0,2,0,0,2,0,15,8,0,0,0,2,4,0,0,0,0,2957,45,2,5,3,Clothing And Clothing Accessories Stores
Tippecanoe,157,065,82070,Wea,22102,0,0,42,0,0,0,0,0,0,15,0,20,0,0,39,0,0,0,19,0,32,19,16,0,0,1361,0,0,253,27,332,112,4050,0,70,55,0,41,0,0,0,1507,0,309,0,0,13,0,0,9,38,0,0,0,397,0,0,0,126,0,0,0,358,0,0,9,0,0,20,273,246,0,9,0,0,38,0,0,0,42,0,126,12,0,0,0,8,75,0,0,0,0,20298,1397,594,43,163,Clothing And Clothing Accessories Stores
Tippecanoe,157,005,22342,Fairfield,49970,0,0,39,0,0,77,14,0,32,49,0,69,4,0,76,0,0,29,11,8,70,33,59,33,0,3211,0,21,417,67,907,154,8066,0,205,73,12,81,0,26,0,3329,0,926,0,0,5,41,0,41,5,0,5,0,1027,26,0,0,247,0,0,0,590,28,56,151,0,11,34,561,671,0,36,0,0,55,10,0,0,60,0,412,76,25,9,0,100,168,59,32,0,0,44394,4411,1618,152,720,Clothing And Clothing Accessories Stores
Tippecanoe,157,060,81926,Wayne,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,32,42,4,174,0,0,0,0,0,0,0,0,101,0,11,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,21,0,0,0,0,0,12,37,8,0,0,0,9,0,0,0,0,0,0,28,0,0,0,0,0,7,0,0,0,0,1299,13,1,1,3,Clothing And Clothing Accessories Stores
Tippecanoe,157,055,81080,Washington,2473,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,67,0,19,24,607,0,0,0,0,0,0,0,0,129,0,10,0,0,0,0,0,0,0,0,0,0,102,0,0,0,29,0,0,0,8,0,0,8,0,0,0,15,64,0,0,0,0,10,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,2441,10,4,1,6,Clothing And Clothing Accessories Stores
Tippecanoe,157,010,37494,Jackson,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,37,0,8,0,0,0,0,0,0,7,0,28,0,0,0,0,0,0,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,508,3,0,3,0,Clothing And Clothing Accessories Stores
Tipton,159,030,84194,Wildcat,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,9,0,20,0,168,0,0,0,0,0,0,0,0,76,0,5,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,5,0,0,0,0,0,3,13,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,0,0,1520,10,1,5,0,Crop Production
Tipton,159,025,61614,Prairie,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,16,0,10,0,184,0,27,0,0,11,0,0,0,83,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0,16,0,4,0,0,0,17,4,20,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,4,0,0,0,0,1202,5,2,1,2,Crop Production
Tipton,159,005,12646,Cicero,8350,0,0,0,0,0,0,0,0,0,0,0,21,0,0,5,0,0,0,10,0,0,0,0,0,0,719,0,0,90,0,163,0,1261,0,0,0,0,0,0,0,0,388,0,10,0,0,0,0,0,0,0,0,0,0,55,0,0,0,93,0,0,0,14,0,0,27,0,0,0,116,36,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,47,0,0,0,0,8203,104,14,8,39,Crop Production
Tipton,159,010,38250,Jefferson,1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,16,0,21,0,227,0,0,0,0,23,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,8,0,7,1,Crop Production
Tipton,159,015,43416,Liberty,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,39,4,32,0,391,0,24,0,0,9,0,0,0,88,0,64,0,0,0,0,0,0,0,0,0,0,28,0,0,0,8,0,0,0,6,0,0,0,0,0,0,25,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2528,37,5,6,7,Crop Production
